fileno,name,age,gender,filename,type,train_younger,test_younger,difference
99,PaulAnka,46,m.jpg,99_PaulAnka_46_m.jpg,accuracy,0,0,0
102,PaulAnka,60,m.jpg,102_PaulAnka_60_m.jpg,accuracy,1,1,1
85,PaulAnka,65,m.jpg,85_PaulAnka_65_m.jpg,accuracy,1,1,1
88,PaulAnka,67,m.jpg,88_PaulAnka_67_m.jpg,accuracy,1,1,1
90,PaulAnka,70,m.jpg,90_PaulAnka_70_m.jpg,accuracy,1,0,0
10638,LuiseRainer,26,f.jpg,10638_LuiseRainer_26_f.jpg,accuracy,0,1,0
10645,LuiseRainer,27,f.jpg,10645_LuiseRainer_27_f.jpg,accuracy,1,1,1
10666,LuiseRainer,28,f.jpg,10666_LuiseRainer_28_f.jpg,accuracy,1,1,1
10674,LuiseRainer,27,f.jpg,10674_LuiseRainer_27_f.jpg,accuracy,1,1,1
10686,LuiseRainer,46,f.jpg,10686_LuiseRainer_46_f.jpg,accuracy,1,1,1
10671,LuiseRainer,74,f.jpg,10671_LuiseRainer_74_f.jpg,accuracy,0,0,0
10752,OrnellaMuti,15,f.jpg,10752_OrnellaMuti_15_f.jpg,accuracy,1,1,1
10757,OrnellaMuti,21,f.jpg,10757_OrnellaMuti_21_f.jpg,accuracy,0,0,0
10762,OrnellaMuti,26,f.jpg,10762_OrnellaMuti_26_f.jpg,accuracy,1,1,1
10785,OrnellaMuti,51,f.jpg,10785_OrnellaMuti_51_f.jpg,accuracy,1,1,1
10789,OrnellaMuti,55,f.jpg,10789_OrnellaMuti_55_f.jpg,accuracy,1,1,1
10791,OrnellaMuti,57,f.jpg,10791_OrnellaMuti_57_f.jpg,accuracy,1,1,1
11665,MireilleDarc,34,f.jpg,11665_MireilleDarc_34_f.jpg,accuracy,1,1,1
11669,MireilleDarc,38,f.jpg,11669_MireilleDarc_38_f.jpg,accuracy,0,1,0
11678,MireilleDarc,51,f.jpg,11678_MireilleDarc_51_f.jpg,accuracy,1,1,1
11679,MireilleDarc,54,f.jpg,11679_MireilleDarc_54_f.jpg,accuracy,1,1,1
11683,MireilleDarc,58,f.jpg,11683_MireilleDarc_58_f.jpg,accuracy,1,1,1
11847,BarbaraBouchet,25,f.jpg,11847_BarbaraBouchet_25_f.jpg,accuracy,0,0,0
11870,BarbaraBouchet,61,f.jpg,11870_BarbaraBouchet_61_f.jpg,accuracy,1,1,1
11876,BarbaraBouchet,68,f.jpg,11876_BarbaraBouchet_68_f.jpg,accuracy,1,1,1
11948,AngelaLansbury,20,f.jpg,11948_AngelaLansbury_20_f.jpg,accuracy,1,1,1
11959,AngelaLansbury,35,f.jpg,11959_AngelaLansbury_35_f.jpg,accuracy,1,1,1
11962,AngelaLansbury,41,f.jpg,11962_AngelaLansbury_41_f.jpg,accuracy,1,0,0
11964,AngelaLansbury,46,f.jpg,11964_AngelaLansbury_46_f.jpg,accuracy,1,1,1
11971,AngelaLansbury,60,f.jpg,11971_AngelaLansbury_60_f.jpg,accuracy,1,1,1
11977,AngelaLansbury,67,f.jpg,11977_AngelaLansbury_67_f.jpg,accuracy,1,1,1
11984,AngelaLansbury,80,f.jpg,11984_AngelaLansbury_80_f.jpg,accuracy,1,0,0
11989,AngelaLansbury,87,f.jpg,11989_AngelaLansbury_87_f.jpg,accuracy,1,1,1
12024,DebbieReynolds,24,f.jpg,12024_DebbieReynolds_24_f.jpg,accuracy,1,0,0
12045,DebbieReynolds,69,f.jpg,12045_DebbieReynolds_69_f.jpg,accuracy,1,1,1
12055,DebbieReynolds,78,f.jpg,12055_DebbieReynolds_78_f.jpg,accuracy,1,1,1
12092,EvaMarieSaint,30,f.jpg,12092_EvaMarieSaint_30_f.jpg,accuracy,1,1,1
12103,EvaMarieSaint,44,f.jpg,12103_EvaMarieSaint_44_f.jpg,accuracy,1,1,1
12115,EvaMarieSaint,73,f.jpg,12115_EvaMarieSaint_73_f.jpg,accuracy,1,1,1
12121,EvaMarieSaint,82,f.jpg,12121_EvaMarieSaint_82_f.jpg,accuracy,1,1,1
121,MickJagger,18,m.jpg,121_MickJagger_18_m.jpg,accuracy,1,1,1
2785,MickJagger,47,m.jpg,2785_MickJagger_47_m.jpg,accuracy,1,1,1
2792,MickJagger,63,m.jpg,2792_MickJagger_63_m.jpg,accuracy,1,1,1
2793,MickJagger,64,m.jpg,2793_MickJagger_64_m.jpg,accuracy,1,1,1
2794,MickJagger,66,m.jpg,2794_MickJagger_66_m.jpg,accuracy,1,1,1
12337,MyrnaLoy,20,f.jpg,12337_MyrnaLoy_20_f.jpg,accuracy,1,1,1
12376,MyrnaLoy,33,f.jpg,12376_MyrnaLoy_33_f.jpg,accuracy,1,1,1
12329,MyrnaLoy,51,f.jpg,12329_MyrnaLoy_51_f.jpg,accuracy,1,1,1
12330,MyrnaLoy,75,f.jpg,12330_MyrnaLoy_75_f.jpg,accuracy,1,1,1
12364,MyrnaLoy,67,f.jpg,12364_MyrnaLoy_67_f.jpg,accuracy,1,1,1
