,hash_sample,offset,covariates_beta,drift_beta,true_identity,age,filename,y_pred,y_drift,predicted_age,euclidean,cosine,identity_grouping_distance,orig_TP,orig_FN,virtual_TP,virtual_FN,stat_TP,stat_FP,stat_undefined
0,1,0.01,0.0,0.2,LuiseRainer,26,10638_LuiseRainer_26_f.jpg,LuiseRainer,DanielleDarrieux,6.08,6.11592435836792,0.9969997406005859,-1840.838315486908,1,0,0,1,0,1,0
1,2,0.01,0.0,0.2,LuiseRainer,27,10645_LuiseRainer_27_f.jpg,-1,-1,-10.33,8.786404609680176,0.9938777089118958,29669.493723869324,0,1,0,1,0,0,1
2,3,0.01,0.0,0.2,LuiseRainer,28,10666_LuiseRainer_28_f.jpg,-1,-1,-6.45,5.412892818450928,0.9976621270179749,10443.487207055092,0,1,0,1,0,0,1
3,4,0.01,0.0,0.2,LuiseRainer,74,10671_LuiseRainer_74_f.jpg,-1,-1,-11.72,7.536773204803467,0.9956221580505371,946.9003355503082,0,1,0,1,0,0,1
4,5,0.01,0.0,0.2,LuiseRainer,27,10674_LuiseRainer_27_f.jpg,-1,-1,30.17,8.192957878112793,0.9946670532226562,-11824.977697044611,0,1,0,1,0,0,1
5,6,0.01,0.0,0.2,LuiseRainer,46,10686_LuiseRainer_46_f.jpg,LuiseRainer,JeanClaudeVanDamme,-0.56,5.143467426300049,0.9978959560394287,15886.69052195549,1,0,0,1,0,1,0
6,7,0.01,0.0,0.2,OrnellaMuti,15,10752_OrnellaMuti_15_f.jpg,-1,-1,-2.88,5.3069586753845215,0.997734546661377,-1455.6152610778809,0,1,0,1,0,0,1
7,8,0.01,0.0,0.2,OrnellaMuti,21,10757_OrnellaMuti_21_f.jpg,-1,-1,-3.7,5.70489501953125,0.9974769949913025,-22567.98042178154,0,1,0,1,0,0,1
8,9,0.01,0.0,0.2,OrnellaMuti,26,10762_OrnellaMuti_26_f.jpg,OrnellaMuti,AngelaLansbury,-16.62,5.930716514587402,0.9971540570259094,-4141.959506392479,1,0,0,1,0,1,0
9,10,0.01,0.0,0.2,OrnellaMuti,29,10765_OrnellaMuti_29_f.jpg,-1,-1,-1.75,3.1154894828796387,0.9992231130599976,-8878.793864488602,0,1,0,1,0,0,1
10,11,0.01,0.0,0.2,OrnellaMuti,51,10785_OrnellaMuti_51_f.jpg,-1,-1,-2.8,4.899018287658691,0.9980833530426025,4022.938542485237,0,1,0,1,0,0,1
11,12,0.01,0.0,0.2,OrnellaMuti,55,10789_OrnellaMuti_55_f.jpg,-1,-1,3.77,5.316561222076416,0.9978830814361572,-1477.8007998466492,0,1,0,1,0,0,1
