,hash_sample,offset,covariates_beta,drift_beta,true_identity,age,filename,y_pred,y_drift,predicted_age,euclidean,cosine,identity_grouping_distance,orig_TP,orig_FN,virtual_TP,virtual_FN,stat_TP,stat_FP,stat_undefined
0,1,0.01,0.0,0.5,LuiseRainer,26,10638_LuiseRainer_26_f.jpg,LuiseRainer,DanielleDarrieux,1.47,11.539799690246582,0.9892885088920593,23331.334124565125,1,0,0,1,0,1,0
1,2,0.01,0.0,0.5,LuiseRainer,27,10645_LuiseRainer_27_f.jpg,-1,-1,-7.19,11.732537269592285,0.9890881776809692,111550.11630630493,0,1,0,1,0,0,1
2,3,0.01,0.0,0.5,LuiseRainer,28,10666_LuiseRainer_28_f.jpg,-1,-1,-10.18,13.001280784606934,0.986484169960022,54825.69448471069,0,1,0,1,0,0,1
3,4,0.01,0.0,0.5,LuiseRainer,74,10671_LuiseRainer_74_f.jpg,-1,-1,-3.01,14.947896003723145,0.982659101486206,28565.5613822937,0,1,0,1,0,0,1
4,5,0.01,0.0,0.5,LuiseRainer,27,10674_LuiseRainer_27_f.jpg,-1,-1,-8.41,8.666699409484863,0.9940381646156311,18933.659903526306,0,1,0,1,0,0,1
5,6,0.01,0.0,0.5,LuiseRainer,46,10686_LuiseRainer_46_f.jpg,LuiseRainer,JeanClaudeVanDamme,-2.72,11.860325813293457,0.9887061715126038,62781.25729084015,1,0,0,1,0,1,0
6,7,0.01,0.0,0.5,OrnellaMuti,15,10752_OrnellaMuti_15_f.jpg,-1,-1,-5.3,8.809367179870605,0.9937267899513245,-179321.55266189575,0,1,0,1,0,0,1
7,8,0.01,0.0,0.5,OrnellaMuti,21,10757_OrnellaMuti_21_f.jpg,-1,-1,7.13,10.287765502929688,0.991771399974823,42836.82734298706,0,1,0,1,0,0,1
8,9,0.01,0.0,0.5,OrnellaMuti,26,10762_OrnellaMuti_26_f.jpg,OrnellaMuti,AngelaLansbury,20.31,10.70798397064209,0.9907160997390747,44153.05308532715,1,0,0,1,0,1,0
9,10,0.01,0.0,0.5,OrnellaMuti,29,10765_OrnellaMuti_29_f.jpg,-1,-1,5.57,7.933759689331055,0.9949939250946045,60457.826813697815,0,1,0,1,0,0,1
10,11,0.01,0.0,0.5,OrnellaMuti,51,10785_OrnellaMuti_51_f.jpg,-1,-1,-4.67,12.298158645629883,0.9880377650260925,-31892.890114337206,0,1,0,1,0,0,1
11,12,0.01,0.0,0.5,OrnellaMuti,55,10789_OrnellaMuti_55_f.jpg,-1,-1,-1.04,9.481609344482422,0.9933227896690369,74838.09995985031,0,1,0,1,0,0,1
12,13,0.01,0.0,0.5,OrnellaMuti,57,10791_OrnellaMuti_57_f.jpg,-1,-1,-1.55,7.084016799926758,0.9961932301521301,-94337.68499016762,0,1,0,1,0,0,1
13,14,0.01,0.0,0.5,MireilleDarc,34,11665_MireilleDarc_34_f.jpg,MireilleDarc,MireilleDarc,0.12,11.10911750793457,0.9912682771682739,37082.62830066681,1,0,1,0,1,0,0
14,15,0.01,0.0,0.5,MireilleDarc,38,11669_MireilleDarc_38_f.jpg,-1,-1,-6.95,14.36244010925293,0.9843201637268066,-42445.005747795105,0,1,1,0,0,0,1
15,16,0.01,0.0,0.5,MireilleDarc,51,11678_MireilleDarc_51_f.jpg,MireilleDarc,MireilleDarc,-10.41,8.616947174072266,0.9948623180389404,85961.05138015747,1,0,1,0,1,0,0
16,17,0.01,0.0,0.5,MireilleDarc,54,11679_MireilleDarc_54_f.jpg,MireilleDarc,MireilleDarc,-3.6,6.111021041870117,0.9971391558647156,87766.31379699707,1,0,1,0,1,0,0
17,18,0.01,0.0,0.5,MireilleDarc,58,11683_MireilleDarc_58_f.jpg,MireilleDarc,MireilleDarc,4.44,10.048849105834961,0.9923309087753296,-9388.012703895569,1,0,1,0,1,0,0
18,19,0.01,0.0,0.5,BarbaraBouchet,25,11847_BarbaraBouchet_25_f.jpg,-1,-1,-0.23,8.711838722229004,0.9938703775405884,-3495.0092585086823,0,1,0,1,0,0,1
19,20,0.01,0.0,0.5,BarbaraBouchet,61,11870_BarbaraBouchet_61_f.jpg,-1,-1,4.01,10.98912525177002,0.9906486868858337,-43816.50620558858,0,1,1,0,0,0,1
20,21,0.01,0.0,0.5,BarbaraBouchet,68,11876_BarbaraBouchet_68_f.jpg,-1,-1,-0.19,6.362913608551025,0.9968281388282776,-11088.923540830612,0,1,0,1,0,0,1
21,22,0.01,0.0,0.5,AngelaLansbury,20,11948_AngelaLansbury_20_f.jpg,AngelaLansbury,AngelaLansbury,-0.29,11.84907054901123,0.9896394610404968,-42036.07952976227,1,0,1,0,1,0,0
22,23,0.01,0.0,0.5,AngelaLansbury,35,11959_AngelaLansbury_35_f.jpg,AngelaLansbury,AngelaLansbury,4.54,12.483772277832031,0.9874058365821838,-20847.654235839844,1,0,1,0,1,0,0
23,24,0.01,0.0,0.5,AngelaLansbury,41,11962_AngelaLansbury_41_f.jpg,-1,-1,0.98,10.601499557495117,0.9909522533416748,21068.184309482574,0,1,1,0,0,0,1
24,25,0.01,0.0,0.5,AngelaLansbury,46,11964_AngelaLansbury_46_f.jpg,AngelaLansbury,AngelaLansbury,0.27,8.294214248657227,0.9946073889732361,100905.32255554199,1,0,1,0,1,0,0
25,26,0.01,0.0,0.5,AngelaLansbury,60,11971_AngelaLansbury_60_f.jpg,AngelaLansbury,AngelaLansbury,7.47,8.878751754760742,0.9937001466751099,12534.25006866455,1,0,1,0,1,0,0
26,27,0.01,0.0,0.5,AngelaLansbury,67,11977_AngelaLansbury_67_f.jpg,AngelaLansbury,AngelaLansbury,-0.14,6.821669578552246,0.9962677955627441,-74659.2741985321,1,0,1,0,1,0,0
27,28,0.01,0.0,0.5,AngelaLansbury,80,11984_AngelaLansbury_80_f.jpg,-1,-1,-4.38,11.337048530578613,0.9896605610847473,-153274.15086364746,0,1,0,1,0,0,1
28,29,0.01,0.0,0.5,AngelaLansbury,87,11989_AngelaLansbury_87_f.jpg,AngelaLansbury,AngelaLansbury,0.73,7.911530017852783,0.9955700039863586,-50721.57253265381,1,0,1,0,1,0,0
29,30,0.01,0.0,0.5,DebbieReynolds,24,12024_DebbieReynolds_24_f.jpg,-1,-1,-9.2,9.877647399902344,0.9921390414237976,41593.895431518555,0,1,0,1,0,0,1
30,31,0.01,0.0,0.5,DebbieReynolds,69,12045_DebbieReynolds_69_f.jpg,-1,-1,-2.67,10.399140357971191,0.9915797710418701,-19636.628540039062,0,1,0,1,0,0,1
31,32,0.01,0.0,0.5,DebbieReynolds,78,12055_DebbieReynolds_78_f.jpg,-1,-1,-5.15,9.27557373046875,0.9931849241256714,-70250.89204484224,0,1,1,0,0,0,1
32,33,0.01,0.0,0.5,EvaMarieSaint,30,12092_EvaMarieSaint_30_f.jpg,-1,-1,4.36,15.808531761169434,0.9803552031517029,-66314.65928840637,0,1,0,1,0,0,1
33,34,0.01,0.0,0.5,EvaMarieSaint,44,12103_EvaMarieSaint_44_f.jpg,EvaMarieSaint,FredMacMurray,2.09,9.99325180053711,0.9921408295631409,1040.4541702270508,1,0,0,1,0,1,0
34,35,0.01,0.0,0.5,EvaMarieSaint,73,12115_EvaMarieSaint_73_f.jpg,-1,-1,-9.75,10.03076171875,0.9920163750648499,-142672.49011182785,0,1,1,0,0,0,1
35,36,0.01,0.0,0.5,EvaMarieSaint,82,12121_EvaMarieSaint_82_f.jpg,EvaMarieSaint,FredMacMurray,-3.35,15.77568244934082,0.9801364541053772,20560.096199035645,1,0,0,1,0,1,0
36,37,0.01,0.0,0.5,MickJagger,18,121_MickJagger_18_m.jpg,-1,-1,7.43,11.008893966674805,0.9904841780662537,21675.111473083496,0,1,0,1,0,0,1
37,38,0.01,0.0,0.5,MyrnaLoy,51,12329_MyrnaLoy_51_f.jpg,-1,-1,-4.25,8.172614097595215,0.9946196675300598,29226.088153362274,0,1,0,1,0,0,1
38,39,0.01,0.0,0.5,MyrnaLoy,75,12330_MyrnaLoy_75_f.jpg,MyrnaLoy,JeanetteMacDonald,2.04,12.48751449584961,0.9876344203948975,-51393.85980093479,1,0,0,1,0,1,0
39,40,0.01,0.0,0.5,MyrnaLoy,20,12337_MyrnaLoy_20_f.jpg,-1,-1,2.44,7.2930827140808105,0.9961373209953308,-21675.95824623108,0,1,0,1,0,0,1
