,hash_sample,offset,covariates_beta,drift_beta,true_identity,age,filename,y_pred,y_drift,predicted_age,euclidean,cosine,identity_grouping_distance,orig_TP,orig_FN,virtual_TP,virtual_FN,stat_TP,stat_FP,stat_undefined
0,1,0.01,0.0,0.2,LuiseRainer,26,10638_LuiseRainer_26_f.jpg,LuiseRainer,DanielleDarrieux,1.47,6.112228870391846,0.9970037341117859,23331.334124565125,1,0,0,1,0,1,0
1,2,0.01,0.0,0.2,LuiseRainer,27,10645_LuiseRainer_27_f.jpg,-1,-1,-7.19,9.21359634399414,0.9932669997215271,111550.11630630493,0,1,0,1,0,0,1
2,3,0.01,0.0,0.2,LuiseRainer,28,10666_LuiseRainer_28_f.jpg,-1,-1,-10.18,5.674107551574707,0.9974300265312195,54825.69448471069,0,1,0,1,0,0,1
3,4,0.01,0.0,0.2,LuiseRainer,74,10671_LuiseRainer_74_f.jpg,-1,-1,-3.01,7.411158084869385,0.9957643151283264,28565.5613822937,0,1,0,1,0,0,1
4,5,0.01,0.0,0.2,LuiseRainer,27,10674_LuiseRainer_27_f.jpg,-1,-1,-8.41,7.8361663818359375,0.9951246380805969,18933.659903526306,0,1,0,1,0,0,1
5,6,0.01,0.0,0.2,LuiseRainer,46,10686_LuiseRainer_46_f.jpg,LuiseRainer,JeanClaudeVanDamme,-2.72,5.108445167541504,0.9979247450828552,62781.25729084015,1,0,0,1,0,1,0
6,7,0.01,0.0,0.2,OrnellaMuti,15,10752_OrnellaMuti_15_f.jpg,-1,-1,-5.3,5.299952030181885,0.997740626335144,-179321.55266189575,0,1,0,1,0,0,1
7,8,0.01,0.0,0.2,OrnellaMuti,21,10757_OrnellaMuti_21_f.jpg,-1,-1,7.13,5.836936950683594,0.9973592758178711,42836.82734298706,0,1,0,1,0,0,1
8,9,0.01,0.0,0.2,OrnellaMuti,26,10762_OrnellaMuti_26_f.jpg,OrnellaMuti,AngelaLansbury,20.31,5.90224552154541,0.9971808195114136,44153.05308532715,1,0,0,1,0,1,0
9,10,0.01,0.0,0.2,OrnellaMuti,29,10765_OrnellaMuti_29_f.jpg,-1,-1,5.57,3.1046080589294434,0.9992287755012512,60457.826813697815,0,1,0,1,0,0,1
10,11,0.01,0.0,0.2,OrnellaMuti,51,10785_OrnellaMuti_51_f.jpg,-1,-1,-4.67,5.974189758300781,0.9971539974212646,-31892.890114337206,0,1,0,1,0,0,1
11,12,0.01,0.0,0.2,OrnellaMuti,55,10789_OrnellaMuti_55_f.jpg,-1,-1,-1.04,5.313096523284912,0.9978856444358826,74838.09995985031,0,1,0,1,0,0,1
