,hash_sample,offset,covariates_beta,drift_beta,true_identity,age,filename,y_pred,y_drift,predicted_age,euclidean,cosine,identity_grouping_distance,orig_TP,orig_FN,virtual_TP,virtual_FN,stat_TP,stat_FP,stat_undefined
0,1,0.01,0.0,-1.0,LuiseRainer,26,10638_LuiseRainer_26_f.jpg,LuiseRainer,LuiseRainer,1.47,15.069093704223633,0.9830974340438843,23331.334124565125,1,0,1,0,1,0,0
1,2,0.01,0.0,-1.0,LuiseRainer,27,10645_LuiseRainer_27_f.jpg,-1,-1,-7.19,21.07341957092285,0.9669481515884399,111550.11630630493,0,1,1,0,0,0,1
2,3,0.01,0.0,-1.0,LuiseRainer,28,10666_LuiseRainer_28_f.jpg,-1,-1,-10.18,15.418075561523438,0.9822143912315369,54825.69448471069,0,1,1,0,0,0,1
3,4,0.01,0.0,-1.0,LuiseRainer,74,10671_LuiseRainer_74_f.jpg,-1,-1,-3.01,18.184295654296875,0.9748709201812744,28565.5613822937,0,1,1,0,0,0,1
4,5,0.01,0.0,-1.0,LuiseRainer,27,10674_LuiseRainer_27_f.jpg,-1,-1,-8.41,12.263779640197754,0.9883341789245605,18933.659903526306,0,1,0,1,0,0,1
5,6,0.01,0.0,-1.0,LuiseRainer,46,10686_LuiseRainer_46_f.jpg,LuiseRainer,LuiseRainer,-2.72,18.09486198425293,0.9766774773597717,62781.25729084015,1,0,1,0,1,0,0
6,7,0.01,0.0,-1.0,OrnellaMuti,15,10752_OrnellaMuti_15_f.jpg,-1,-1,-5.3,10.181028366088867,0.9917231202125549,-179321.55266189575,0,1,0,1,0,0,1
7,8,0.01,0.0,-1.0,OrnellaMuti,21,10757_OrnellaMuti_21_f.jpg,-1,-1,7.13,14.940215110778809,0.9838794469833374,42836.82734298706,0,1,0,1,0,0,1
8,9,0.01,0.0,-1.0,OrnellaMuti,26,10762_OrnellaMuti_26_f.jpg,OrnellaMuti,OrnellaMuti,20.31,14.979837417602539,0.9826752543449402,44153.05308532715,1,0,1,0,1,0,0
9,10,0.01,0.0,-1.0,OrnellaMuti,29,10765_OrnellaMuti_29_f.jpg,-1,-1,5.57,11.502933502197266,0.9895472526550293,60457.826813697815,0,1,0,1,0,0,1
10,11,0.01,0.0,-1.0,OrnellaMuti,51,10785_OrnellaMuti_51_f.jpg,-1,-1,-4.67,17.563568115234375,0.9761882424354553,-31892.890114337206,0,1,1,0,0,0,1
11,12,0.01,0.0,-1.0,OrnellaMuti,55,10789_OrnellaMuti_55_f.jpg,-1,-1,-1.04,13.923051834106445,0.9857463240623474,74838.09995985031,0,1,0,1,0,0,1
12,13,0.01,0.0,-1.0,OrnellaMuti,57,10791_OrnellaMuti_57_f.jpg,-1,-1,-1.55,15.622879028320312,0.981593906879425,-94337.68499016762,0,1,0,1,0,0,1
13,14,0.01,0.0,-1.0,MireilleDarc,34,11665_MireilleDarc_34_f.jpg,MireilleDarc,MireilleDarc,0.12,12.536033630371094,0.9889528751373291,37082.62830066681,1,0,1,0,1,0,0
14,15,0.01,0.0,-1.0,MireilleDarc,38,11669_MireilleDarc_38_f.jpg,-1,-1,-6.95,18.15343475341797,0.9760032892227173,-42445.005747795105,0,1,1,0,0,0,1
15,16,0.01,0.0,-1.0,MireilleDarc,51,11678_MireilleDarc_51_f.jpg,MireilleDarc,MireilleDarc,-10.41,8.642642974853516,0.9948056936264038,85961.05138015747,1,0,1,0,1,0,0
16,17,0.01,0.0,-1.0,MireilleDarc,54,11679_MireilleDarc_54_f.jpg,MireilleDarc,MireilleDarc,-3.6,11.380756378173828,0.9900711178779602,87766.31379699707,1,0,1,0,1,0,0
17,18,0.01,0.0,-1.0,MireilleDarc,58,11683_MireilleDarc_58_f.jpg,MireilleDarc,MireilleDarc,4.44,13.058424949645996,0.9869028925895691,-9388.012703895569,1,0,1,0,1,0,0
18,19,0.01,0.0,-1.0,BarbaraBouchet,25,11847_BarbaraBouchet_25_f.jpg,-1,-1,-0.23,13.644844055175781,0.9853888750076294,-3495.0092585086823,0,1,0,1,0,0,1
19,20,0.01,0.0,-1.0,BarbaraBouchet,61,11870_BarbaraBouchet_61_f.jpg,-1,-1,4.01,12.678779602050781,0.9877398014068604,-43816.50620558858,0,1,0,1,0,0,1
