,hash_sample,offset,covariates_beta,drift_beta,true_identity,age,filename,y_pred,y_drift,predicted_age,euclidean,cosine,identity_grouping_distance,orig_TP,orig_FN,virtual_TP,virtual_FN,stat_TP,stat_FP,stat_undefined
0,1,0.01,0.0,-1.0,LuiseRainer,26,10638_LuiseRainer_26_f.jpg,LuiseRainer,LuiseRainer,6.08,15.180266380310059,0.9828407764434814,-1840.838315486908,1,0,1,0,1,0,0
1,2,0.01,0.0,-1.0,LuiseRainer,27,10645_LuiseRainer_27_f.jpg,-1,-1,-10.33,21.3111629486084,0.9661701917648315,29669.493723869324,0,1,1,0,0,0,1
2,3,0.01,0.0,-1.0,LuiseRainer,28,10666_LuiseRainer_28_f.jpg,-1,-1,-6.45,15.393404006958008,0.9824922680854797,10443.487207055092,0,1,1,0,0,0,1
3,4,0.01,0.0,-1.0,LuiseRainer,74,10671_LuiseRainer_74_f.jpg,-1,-1,-11.72,18.36090850830078,0.9743734002113342,946.9003355503082,0,1,1,0,0,0,1
4,5,0.01,0.0,-1.0,LuiseRainer,27,10674_LuiseRainer_27_f.jpg,-1,-1,30.17,11.731497764587402,0.9893544912338257,-11824.977697044611,0,1,0,1,0,0,1
5,6,0.01,0.0,-1.0,LuiseRainer,46,10686_LuiseRainer_46_f.jpg,LuiseRainer,LuiseRainer,-0.56,18.20114517211914,0.9764004349708557,15886.69052195549,1,0,1,0,1,0,0
6,7,0.01,0.0,-1.0,OrnellaMuti,15,10752_OrnellaMuti_15_f.jpg,-1,-1,-2.88,10.167162895202637,0.9917445182800293,-1455.6152610778809,0,1,0,1,0,0,1
7,8,0.01,0.0,-1.0,OrnellaMuti,21,10757_OrnellaMuti_21_f.jpg,-1,-1,-3.7,15.525388717651367,0.9826416373252869,-22567.98042178154,0,1,0,1,0,0,1
8,9,0.01,0.0,-1.0,OrnellaMuti,26,10762_OrnellaMuti_26_f.jpg,OrnellaMuti,OrnellaMuti,-16.62,15.09127140045166,0.9824281930923462,-4141.959506392479,1,0,1,0,1,0,0
9,10,0.01,0.0,-1.0,OrnellaMuti,29,10765_OrnellaMuti_29_f.jpg,-1,-1,-1.75,11.578619003295898,0.9894115328788757,-8878.793864488602,0,1,0,1,0,0,1
10,11,0.01,0.0,-1.0,OrnellaMuti,51,10785_OrnellaMuti_51_f.jpg,-1,-1,-2.8,17.172033309936523,0.977388322353363,4022.938542485237,0,1,1,0,0,0,1
11,12,0.01,0.0,-1.0,OrnellaMuti,55,10789_OrnellaMuti_55_f.jpg,-1,-1,3.77,14.094428062438965,0.9853967428207397,-1477.8007998466492,0,1,0,1,0,0,1
12,13,0.01,0.0,-1.0,OrnellaMuti,57,10791_OrnellaMuti_57_f.jpg,-1,-1,-0.12,15.58974552154541,0.9816701412200928,62.94538640975952,0,1,0,1,0,0,1
13,14,0.01,0.0,-1.0,MireilleDarc,34,11665_MireilleDarc_34_f.jpg,MireilleDarc,MireilleDarc,1.75,11.838924407958984,0.9901291131973267,1252.5601552724838,1,0,1,0,1,0,0
14,15,0.01,0.0,-1.0,MireilleDarc,38,11669_MireilleDarc_38_f.jpg,-1,-1,6.21,18.071514129638672,0.9761839509010315,1402.7483247742057,0,1,1,0,0,0,1
15,16,0.01,0.0,-1.0,MireilleDarc,51,11678_MireilleDarc_51_f.jpg,MireilleDarc,MireilleDarc,0.92,9.463534355163574,0.9937690496444702,-6168.419721603394,1,0,1,0,1,0,0
16,17,0.01,0.0,-1.0,MireilleDarc,54,11679_MireilleDarc_54_f.jpg,MireilleDarc,MireilleDarc,-0.17,10.79012680053711,0.9911032319068909,-5716.514031529427,1,0,1,0,1,0,0
17,18,0.01,0.0,-1.0,MireilleDarc,58,11683_MireilleDarc_58_f.jpg,MireilleDarc,MireilleDarc,2.09,13.024316787719727,0.9869639873504639,4063.297627925873,1,0,1,0,1,0,0
18,19,0.01,0.0,-1.0,BarbaraBouchet,25,11847_BarbaraBouchet_25_f.jpg,-1,-1,2.84,13.706365585327148,0.985251784324646,-5678.22575712204,0,1,0,1,0,0,1
19,20,0.01,0.0,-1.0,BarbaraBouchet,61,11870_BarbaraBouchet_61_f.jpg,-1,-1,-4.06,12.350920677185059,0.9883888363838196,-375.50915908813477,0,1,0,1,0,0,1
20,21,0.01,0.0,-1.0,BarbaraBouchet,68,11876_BarbaraBouchet_68_f.jpg,-1,-1,-1.51,12.182985305786133,0.9883461594581604,2418.168960571289,0,1,0,1,0,0,1
21,22,0.01,0.0,-1.0,AngelaLansbury,20,11948_AngelaLansbury_20_f.jpg,AngelaLansbury,DirkBogarde,6.46,16.514760971069336,0.9802302718162537,2959.8121082782745,1,0,0,1,0,1,0
22,23,0.01,0.0,-1.0,AngelaLansbury,35,11959_AngelaLansbury_35_f.jpg,AngelaLansbury,OrnellaMuti,1.28,15.70842456817627,0.9806286096572876,2333.3690112531185,1,0,0,1,0,1,0
23,24,0.01,0.0,-1.0,AngelaLansbury,41,11962_AngelaLansbury_41_f.jpg,-1,-1,-6.98,9.823118209838867,0.9922505021095276,4471.812935709953,0,1,0,1,0,0,1
