,hash_sample,offset,covariates_beta,drift_beta,true_identity,age,filename,y_pred,y_drift,predicted_age,euclidean,cosine,identity_grouping_distance,orig_TP,orig_FN,virtual_TP,virtual_FN,stat_TP,stat_FP,stat_undefined
0,1,0.01,0.0,-0.5,LuiseRainer,26,10638_LuiseRainer_26_f.jpg,LuiseRainer,LuiseRainer,6.08,10.375683784484863,0.991672694683075,-1840.838315486908,1,0,1,0,1,0,0
1,2,0.01,0.0,-0.5,LuiseRainer,27,10645_LuiseRainer_27_f.jpg,-1,-1,-10.33,12.839871406555176,0.9872515797615051,29669.493723869324,0,1,1,0,0,0,1
2,3,0.01,0.0,-0.5,LuiseRainer,28,10666_LuiseRainer_28_f.jpg,-1,-1,-6.45,9.110135078430176,0.9936046004295349,10443.487207055092,0,1,1,0,0,0,1
3,4,0.01,0.0,-0.5,LuiseRainer,74,10671_LuiseRainer_74_f.jpg,-1,-1,-11.72,12.22841739654541,0.9884462356567383,946.9003355503082,0,1,0,1,0,0,1
4,5,0.01,0.0,-0.5,LuiseRainer,27,10674_LuiseRainer_27_f.jpg,-1,-1,30.17,8.66899299621582,0.9941038489341736,-11824.977697044611,0,1,0,1,0,0,1
5,6,0.01,0.0,-0.5,LuiseRainer,46,10686_LuiseRainer_46_f.jpg,LuiseRainer,LuiseRainer,-0.56,10.545186042785645,0.9916777014732361,15886.69052195549,1,0,1,0,1,0,0
6,7,0.01,0.0,-0.5,OrnellaMuti,15,10752_OrnellaMuti_15_f.jpg,-1,-1,-2.88,5.97480583190918,0.9971191883087158,-1455.6152610778809,0,1,0,1,0,0,1
7,8,0.01,0.0,-0.5,OrnellaMuti,21,10757_OrnellaMuti_21_f.jpg,-1,-1,-3.7,9.48493766784668,0.9932347536087036,-22567.98042178154,0,1,0,1,0,0,1
8,9,0.01,0.0,-0.5,OrnellaMuti,26,10762_OrnellaMuti_26_f.jpg,OrnellaMuti,OrnellaMuti,-16.62,8.73613166809082,0.993927001953125,-4141.959506392479,1,0,1,0,1,0,0
9,10,0.01,0.0,-0.5,OrnellaMuti,29,10765_OrnellaMuti_29_f.jpg,-1,-1,-1.75,10.401592254638672,0.9914166331291199,-8878.793864488602,0,1,0,1,0,0,1
10,11,0.01,0.0,-0.5,OrnellaMuti,51,10785_OrnellaMuti_51_f.jpg,-1,-1,-2.8,10.765707969665527,0.9909186363220215,4022.938542485237,0,1,1,0,0,0,1
11,12,0.01,0.0,-0.5,OrnellaMuti,55,10789_OrnellaMuti_55_f.jpg,-1,-1,3.77,10.348185539245605,0.992006778717041,-1477.8007998466492,0,1,0,1,0,0,1
12,13,0.01,0.0,-0.5,OrnellaMuti,57,10791_OrnellaMuti_57_f.jpg,-1,-1,-0.12,15.063666343688965,0.982772171497345,62.94538640975952,0,1,0,1,0,0,1
13,14,0.01,0.0,-0.5,MireilleDarc,34,11665_MireilleDarc_34_f.jpg,MireilleDarc,MireilleDarc,1.75,10.159268379211426,0.992705762386322,1252.5601552724838,1,0,1,0,1,0,0
14,15,0.01,0.0,-0.5,MireilleDarc,38,11669_MireilleDarc_38_f.jpg,-1,-1,6.21,10.528351783752441,0.9917793273925781,1402.7483247742057,0,1,1,0,0,0,1
15,16,0.01,0.0,-0.5,MireilleDarc,51,11678_MireilleDarc_51_f.jpg,MireilleDarc,MireilleDarc,0.92,11.488184928894043,0.9908261895179749,-6168.419721603394,1,0,1,0,1,0,0
16,17,0.01,0.0,-0.5,MireilleDarc,54,11679_MireilleDarc_54_f.jpg,MireilleDarc,MireilleDarc,-0.17,5.407873630523682,0.9977492094039917,-5716.514031529427,1,0,1,0,1,0,0
17,18,0.01,0.0,-0.5,MireilleDarc,58,11683_MireilleDarc_58_f.jpg,MireilleDarc,MireilleDarc,2.09,10.174288749694824,0.9920073747634888,4063.297627925873,1,0,1,0,1,0,0
18,19,0.01,0.0,-0.5,BarbaraBouchet,25,11847_BarbaraBouchet_25_f.jpg,-1,-1,2.84,9.56931209564209,0.9926852583885193,-5678.22575712204,0,1,0,1,0,0,1
19,20,0.01,0.0,-0.5,BarbaraBouchet,61,11870_BarbaraBouchet_61_f.jpg,-1,-1,-4.06,11.732881546020508,0.9893438220024109,-375.50915908813477,0,1,0,1,0,0,1
20,21,0.01,0.0,-0.5,BarbaraBouchet,68,11876_BarbaraBouchet_68_f.jpg,-1,-1,-1.51,8.556234359741211,0.9942225813865662,2418.168960571289,0,1,0,1,0,0,1
21,22,0.01,0.0,-0.5,AngelaLansbury,20,11948_AngelaLansbury_20_f.jpg,AngelaLansbury,AngelaLansbury,6.46,11.695648193359375,0.9899445176124573,2959.8121082782745,1,0,1,0,1,0,0
22,23,0.01,0.0,-0.5,AngelaLansbury,35,11959_AngelaLansbury_35_f.jpg,AngelaLansbury,OrnellaMuti,1.28,9.377143859863281,0.9929292798042297,2333.3690112531185,1,0,0,1,0,1,0
23,24,0.01,0.0,-0.5,AngelaLansbury,41,11962_AngelaLansbury_41_f.jpg,-1,-1,-6.98,5.617715358734131,0.9974488615989685,4471.812935709953,0,1,0,1,0,0,1
24,25,0.01,0.0,-0.5,AngelaLansbury,46,11964_AngelaLansbury_46_f.jpg,AngelaLansbury,AngelaLansbury,2.71,6.385927677154541,0.9967777729034424,1391.8217631578445,1,0,1,0,1,0,0
25,26,0.01,0.0,-0.5,AngelaLansbury,60,11971_AngelaLansbury_60_f.jpg,AngelaLansbury,AngelaLansbury,2.32,8.80492877960205,0.993824303150177,-1975.360024052672,1,0,1,0,1,0,0
26,27,0.01,0.0,-0.5,AngelaLansbury,67,11977_AngelaLansbury_67_f.jpg,AngelaLansbury,AngelaLansbury,8.44,6.522253036499023,0.9965715408325195,-4730.479142546654,1,0,1,0,1,0,0
27,28,0.01,0.0,-0.5,AngelaLansbury,80,11984_AngelaLansbury_80_f.jpg,-1,-1,1.72,7.180686950683594,0.9958764314651489,370.72989797592163,0,1,0,1,0,0,1
28,29,0.01,0.0,-0.5,AngelaLansbury,87,11989_AngelaLansbury_87_f.jpg,AngelaLansbury,AngelaLansbury,0.02,10.192561149597168,0.992703378200531,862.370289504528,1,0,1,0,1,0,0
29,30,0.01,0.0,-0.5,DebbieReynolds,24,12024_DebbieReynolds_24_f.jpg,-1,-1,2.52,9.383256912231445,0.9930208325386047,3959.5273855924606,0,1,0,1,0,0,1
30,31,0.01,0.0,-0.5,DebbieReynolds,69,12045_DebbieReynolds_69_f.jpg,-1,-1,2.3,8.149304389953613,0.9949755668640137,3225.126624315977,0,1,0,1,0,0,1
31,32,0.01,0.0,-0.5,DebbieReynolds,78,12055_DebbieReynolds_78_f.jpg,-1,-1,-6.37,8.026738166809082,0.9948877096176147,809.101659104228,0,1,0,1,0,0,1
32,33,0.01,0.0,-0.5,EvaMarieSaint,30,12092_EvaMarieSaint_30_f.jpg,-1,-1,0.71,11.28499984741211,0.99027019739151,6410.0764927864075,0,1,0,1,0,0,1
33,34,0.01,0.0,-0.5,EvaMarieSaint,44,12103_EvaMarieSaint_44_f.jpg,EvaMarieSaint,FredMacMurray,8.87,8.616281509399414,0.9941616654396057,-1225.1741185188293,1,0,0,1,0,1,0
