,hash_sample,offset,covariates_beta,drift_beta,true_identity,age,filename,y_pred,y_drift,predicted_age,euclidean,cosine,identity_grouping_distance,orig_TP,orig_FN,virtual_TP,virtual_FN,stat_TP,stat_FP,stat_undefined
0,1,0.01,0.0,0.2,PaulAnka,60,102_PaulAnka_60_m.jpg,PaulAnka,PaulAnka,6.47,1.556524634361267,0.991698682308197,-42634.44051146507,1,0,1,0,1,0,0
1,2,0.01,0.0,0.2,LuiseRainer,26,10638_LuiseRainer_26_f.jpg,-1,-1,-10.24,1.5491185188293457,0.987184464931488,5942.371163845062,0,1,0,1,0,0,1
2,3,0.01,0.0,0.2,LuiseRainer,27,10645_LuiseRainer_27_f.jpg,-1,-1,-7.04,1.2800705432891846,0.9815315008163452,-3210.5783650279045,0,1,0,1,0,0,1
3,4,0.01,0.0,0.2,LuiseRainer,28,10666_LuiseRainer_28_f.jpg,-1,-1,-11.09,1.7212698459625244,0.9862313270568848,-12399.7414560318,0,1,0,1,0,0,1
4,5,0.01,0.0,0.2,LuiseRainer,74,10671_LuiseRainer_74_f.jpg,-1,-1,25.08,1.5017921924591064,0.984560489654541,16118.468212366104,0,1,0,1,0,0,1
5,6,0.01,0.0,0.2,LuiseRainer,27,10674_LuiseRainer_27_f.jpg,-1,-1,-3.79,1.0578938722610474,0.9934167861938477,-27218.479507923126,0,1,0,1,0,0,1
6,7,0.01,0.0,0.2,LuiseRainer,46,10686_LuiseRainer_46_f.jpg,LuiseRainer,LuiseRainer,-1.56,0.7341023087501526,0.997239351272583,6679.276062250137,1,0,1,0,1,0,0
7,8,0.01,0.0,0.2,OrnellaMuti,15,10752_OrnellaMuti_15_f.jpg,OrnellaMuti,OrnellaMuti,4.68,1.3630115985870361,0.9929128289222717,4082.2454385757446,1,0,1,0,1,0,0
8,9,0.01,0.0,0.2,OrnellaMuti,21,10757_OrnellaMuti_21_f.jpg,-1,-1,-2.49,1.7278872728347778,0.9856960773468018,-14548.461592674255,0,1,0,1,0,0,1
9,10,0.01,0.0,0.2,OrnellaMuti,26,10762_OrnellaMuti_26_f.jpg,OrnellaMuti,OrnellaMuti,0.4,1.9740166664123535,0.9857903122901917,-11645.706284999847,1,0,1,0,1,0,0
10,11,0.01,0.0,0.2,OrnellaMuti,51,10785_OrnellaMuti_51_f.jpg,OrnellaMuti,OrnellaMuti,3.7,3.5632998943328857,0.9447305798530579,6162.470110177994,1,0,1,0,1,0,0
11,12,0.01,0.0,0.2,OrnellaMuti,55,10789_OrnellaMuti_55_f.jpg,OrnellaMuti,OrnellaMuti,0.41,2.3660411834716797,0.9799548387527466,537.5139961792156,1,0,1,0,1,0,0
12,13,0.01,0.0,0.2,OrnellaMuti,57,10791_OrnellaMuti_57_f.jpg,OrnellaMuti,OrnellaMuti,-8.87,1.4249480962753296,0.9928174018859863,-7197.1775233745575,1,0,1,0,1,0,0
13,14,0.01,0.0,0.2,MireilleDarc,34,11665_MireilleDarc_34_f.jpg,MireilleDarc,MireilleDarc,-3.33,1.5204001665115356,0.9926024675369263,21335.262931346893,1,0,1,0,1,0,0
14,15,0.01,0.0,0.2,MireilleDarc,38,11669_MireilleDarc_38_f.jpg,MireilleDarc,MireilleDarc,-1.68,2.0151805877685547,0.9791082143783569,15281.0873837471,1,0,1,0,1,0,0
15,16,0.01,0.0,0.2,MireilleDarc,51,11678_MireilleDarc_51_f.jpg,MireilleDarc,MireilleDarc,-0.2,1.750820279121399,0.9826715588569641,-6014.627176463604,1,0,1,0,1,0,0
16,17,0.01,0.0,0.2,MireilleDarc,54,11679_MireilleDarc_54_f.jpg,MireilleDarc,MireilleDarc,2.28,1.9536635875701904,0.9854795336723328,-8349.533989906311,1,0,1,0,1,0,0
17,18,0.01,0.0,0.2,MireilleDarc,58,11683_MireilleDarc_58_f.jpg,MireilleDarc,MireilleDarc,0.38,1.7522938251495361,0.9876919984817505,-9799.35784381628,1,0,1,0,1,0,0
18,19,0.01,0.0,0.2,BarbaraBouchet,25,11847_BarbaraBouchet_25_f.jpg,-1,-1,-3.93,2.0071651935577393,0.9853266477584839,8822.663527488708,0,1,0,1,0,0,1
19,20,0.01,0.0,0.2,BarbaraBouchet,61,11870_BarbaraBouchet_61_f.jpg,BarbaraBouchet,BarbaraBouchet,1.43,1.1818859577178955,0.9950445294380188,1095.0091104507446,1,0,1,0,1,0,0
20,21,0.01,0.0,0.2,BarbaraBouchet,68,11876_BarbaraBouchet_68_f.jpg,BarbaraBouchet,BarbaraBouchet,-8.62,1.3149361610412598,0.9935885071754456,-2693.377179145813,1,0,1,0,1,0,0
21,22,0.01,0.0,0.2,AngelaLansbury,20,11948_AngelaLansbury_20_f.jpg,AngelaLansbury,AngelaLansbury,0.0,1.9383872747421265,0.9854337573051453,-1992.7330632209778,1,0,1,0,1,0,0
22,23,0.01,0.0,0.2,AngelaLansbury,35,11959_AngelaLansbury_35_f.jpg,AngelaLansbury,AngelaLansbury,-7.31,2.0438551902770996,0.9840862154960632,17863.215408459306,1,0,1,0,1,0,0
23,24,0.01,0.0,0.2,AngelaLansbury,41,11962_AngelaLansbury_41_f.jpg,AngelaLansbury,AngelaLansbury,-1.01,0.583288311958313,0.9937846660614014,-6678.626226425171,1,0,1,0,1,0,0
24,25,0.01,0.0,0.2,AngelaLansbury,46,11964_AngelaLansbury_46_f.jpg,AngelaLansbury,AngelaLansbury,-1.34,1.8898378610610962,0.9851518273353577,-2468.9621257781982,1,0,1,0,1,0,0
25,26,0.01,0.0,0.2,AngelaLansbury,60,11971_AngelaLansbury_60_f.jpg,AngelaLansbury,AngelaLansbury,-3.97,1.355406403541565,0.9941577315330505,-9008.132410645485,1,0,1,0,1,0,0
26,27,0.01,0.0,0.2,AngelaLansbury,67,11977_AngelaLansbury_67_f.jpg,AngelaLansbury,AngelaLansbury,-1.24,1.7140592336654663,0.9897605776786804,12574.818036198616,1,0,1,0,1,0,0
27,28,0.01,0.0,0.2,AngelaLansbury,80,11984_AngelaLansbury_80_f.jpg,AngelaLansbury,AngelaLansbury,-1.37,0.922835111618042,0.9972546100616455,-156.7678246498108,1,0,1,0,1,0,0
28,29,0.01,0.0,0.2,AngelaLansbury,87,11989_AngelaLansbury_87_f.jpg,AngelaLansbury,AngelaLansbury,2.43,1.0584112405776978,0.9962460398674011,2263.5316408872604,1,0,1,0,1,0,0
29,30,0.01,0.0,0.2,DebbieReynolds,24,12024_DebbieReynolds_24_f.jpg,DebbieReynolds,DebbieReynolds,2.26,1.9336247444152832,0.9816598892211914,-2027.3548765182495,1,0,1,0,1,0,0
30,31,0.01,0.0,0.2,DebbieReynolds,69,12045_DebbieReynolds_69_f.jpg,DebbieReynolds,DebbieReynolds,-4.49,2.1618666648864746,0.9825755953788757,23931.30034610629,1,0,1,0,1,0,0
