,hash_sample,offset,covariates_beta,drift_beta,name,age,filename,y_pred,y_drift,predicted_age,euclidean,cosine,identity_grouping_distance,orig_TP,orig_FN,virtual_TP,virtual_FN,stat_TP,stat_FP,stat_undefined
0,1,0.01,0,1,PaulAnka,60,102_PaulAnka_60_m.jpg,PaulAnka,EvaMarieSaint,6.47,12.72825527,0.067797877,-42634.44051,1,0,0,1,0,1,0
1,2,0.01,0,1,LuiseRainer,26,10638_LuiseRainer_26_f.jpg,HelenHayes,HelenHayes,-10.24,9.981650352,0.321342885,5942.371164,0,1,0,1,0,0,1
2,3,0.01,0,1,LuiseRainer,27,10645_LuiseRainer_27_f.jpg,HelenHayes,HelenHayes,-7.04,5.750840187,0.495297343,-3210.578365,0,1,1,0,0,0,1
3,4,0.01,0,1,LuiseRainer,28,10666_LuiseRainer_28_f.jpg,HelenHayes,HelenHayes,-11.09,11.10103416,0.185591549,-12399.74146,0,1,1,0,0,0,1
4,5,0.01,0,1,LuiseRainer,74,10671_LuiseRainer_74_f.jpg,MickJagger,MickJagger,25.08,6.875650406,0.515980303,16118.46821,0,1,0,1,0,0,1
5,6,0.01,0,1,LuiseRainer,27,10674_LuiseRainer_27_f.jpg,MireilleDarc,MireilleDarc,-3.79,9.074806213,0.233275399,-27218.47951,0,1,0,1,0,0,1
6,7,0.01,0,1,LuiseRainer,46,10686_LuiseRainer_46_f.jpg,LuiseRainer,LuiseRainer,-1.56,8.572037697,0.487270445,6679.276062,1,0,1,0,1,0,0
7,8,0.01,0,1,OrnellaMuti,15,10752_OrnellaMuti_15_f.jpg,OrnellaMuti,PaulAnka,4.68,11.97499371,0.102310725,4082.245439,1,0,0,1,0,1,0
8,9,0.01,0,1,OrnellaMuti,21,10757_OrnellaMuti_21_f.jpg,MickJagger,MickJagger,-2.49,9.63527298,0.148412034,-14548.46159,0,1,0,1,0,0,1
9,10,0.01,0,1,OrnellaMuti,26,10762_OrnellaMuti_26_f.jpg,OrnellaMuti,PaulAnka,0.4,13.73621368,-0.070824981,-11645.70628,1,0,0,1,0,1,0
10,11,0.01,0,1,OrnellaMuti,51,10785_OrnellaMuti_51_f.jpg,OrnellaMuti,EvaMarieSaint,3.7,12.12403584,-0.080902666,6162.47011,1,0,0,1,0,1,0
11,12,0.01,0,1,OrnellaMuti,55,10789_OrnellaMuti_55_f.jpg,OrnellaMuti,EvaMarieSaint,0.41,12.30897522,0.131674126,537.5139962,1,0,0,1,0,1,0
12,13,0.01,0,1,OrnellaMuti,57,10791_OrnellaMuti_57_f.jpg,OrnellaMuti,PaulAnka,-8.87,13.34338951,-0.107449234,-7197.177523,1,0,0,1,0,1,0
13,14,0.01,0,1,MireilleDarc,34,11665_MireilleDarc_34_f.jpg,MireilleDarc,MarcelloMastroianni,-3.33,13.05354691,0.059979878,21335.26293,1,0,0,1,0,1,0
14,15,0.01,0,1,MireilleDarc,38,11669_MireilleDarc_38_f.jpg,MireilleDarc,MarcelloMastroianni,-1.68,7.606984138,0.384407192,15281.08738,1,0,0,1,0,1,0
